"CourseTitle","Category","Sub Category","CourseWebsite","Duration","DurationTerm","StudyMode","DegreeLevel","IntakeDay","IntakeMonth","ApplyDay","ApplyMonth","City","DomesticOnly","InternationalFee","DomesticFee","FeeTerm","FeeYear","Currency","StudyLoad","Language","IELTS_Listening","IELTS_Speaking","IELTS_Writing","IELTS_Reading","IELTS_Overall","PTE_Listening","PTE_Speaking","PTE_Writing","PTE_Reading","PTE_Overall","TOEFL_Listening","TOEFL_Speaking","TOEFL_Writing","TOEFL_Reading","TOEFL_Overall","English Test","English Test Reading","English Test Listening","English Test Speaking","English Test Writing","English Test Overall","AcademicLevel","AcademicScore","ScoreType","AcademicCountry","OtherTest","Score","OtherRequirement","CourseDescription","CourseStructure","Career"
"Food science and technology",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/food-science-and-technology/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <h3>Food science and technology (dairy products, legumes, alcohol beverages, food bioactives)</h3>
<p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The food and drink industry is extremely important to the UK/Scottish economy and Abertay research within the <a rel=""noopener noreferrer"" href=""/schools/school-of-applied-sciences/division-of-engineering-and-food-science/"" target=""_blank"" title=""Division of Engineering and Food Science"">Division of Engineering and Food Science</a> is at the forefront of new developments and knowledge transfer in food innovation and sustainability.</p>
<p>Current research projects cover a range of food science and technology topics. These include: evaluation of novel yeasts for whisky fermentations, legumes as sustainable raw materials for foods and beverages, non-thermal food preservation processes, ultasound extraction of food bioactives, Maillard reaction products, food antioxidants, E-cigarette emissions, sensory science using electromyography and chemistry of oak maturation of spirits.</p>
<p>Experts in the Division are also researching aspects of human nutrition and public health and have been contributing to Scottish Government policy on food and dietary issues specifically pertaining to Scotland. </p>
<p>We collaborate closely with industry and external research institutes and have excellent laboratory and pilot plant facilities for research and new product development, together with a state-of-the art sensory suite for consumer evaluation of novel food and drink products.</p>
<p> </p>
                </div>",,
"Evolutionary Psychology",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/evolutionary-psychology/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Abertay’s Division of Psychology has a strong and active role in delivering research degrees, including those in partnership with the NHS, local education authorities, Police Scotland, and the business and digital technology communities.</p>
<p>Abertay is a member of the Scottish Graduate School for Social Sciences, and our psychology researchers collaborate across disciplines with colleague from our other academic schools. Abertay has expertise in psychophysics and vision science; numeracy, language learning and processing; comparative and evolutionary psychology; forensic and investigative psychology; social psychology and self-other processing; laterality; cognitive neuroscience; and dance and movement perception.</p>
<p>Abertay’s psychology research environment is well resourced with nine dedicated staff, research labs and a suite of experimental cubicles. Laboratories are equipped with High-end PCs and appropriate software (E-prime, Superlab, N-Vivo, Paradigm, SPSS, Observer XT). Hardware of note includes an anechoic chamber, wall-mounted remote controlled CCTV cameras, SMI 3.0 Eye View eye-movement recorder, SMI Eye View X HED Eye-Tracker, GSR, EEG and tCDS, and the BioHarness Telemetry System. Our psychology researchers also have access to a virtual reality laboratory and other digital technologies through cross-school collaborations.</p>
<p>Our research programmes will prepare you for a career as a researcher and an academic, as well as a diverse range of professions outside of academia.</p>
                </div>",,
"Environmental pollution",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/environmental-pollution/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Our research significantly contributes to Abertay’s Environment research theme with a focus on applying technological and sustainable solutions to contemporary problems. Our knowledge transfer expertise and management supporting tools assist a wide range of industrial and non-industrial stakeholders such as national and local government, a wide range of private sector organisations, regulatory bodies, water and waste companies, Non-governmental organisations (NGOs) and health boards.</p>
<p>We have a formidable track record in combining academic skills and commercial expertise with our research approach being very much multi-disciplinary and industry-facing resulting in the expertise of our staff being much sought after by businesses and professionals in the field operating at an International Level. We are a member of SAGES network, a collaboration of Scottish Universities whose goal it is to provide the highest quality/world-leading postgraduate education and research experience.</p>
<p> </p>
                </div>",,
"Energy Policy and Governance",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/energy-policy-and-governance/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Research degrees in this area offer you the opportunity to analyse the operationalisation of this definition by exploring the state of affairs in terms of renewable energy sources and resource efficiency proliferation. These areas are viewed through the lens of policy and implementation development and application.</p>
<p>A research degree at Abertay is excellent preparation for a career as a researcher and an academic, as well as a diverse range of professions outside of academia, for example, working in public policy.</p>
                </div>",,
"Cyber Security",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/cyber-security/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:G.White@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Cyber security at Abertay University covers a wide range of applied and theoretical research covering all dimensions of the cybersecurity arena. Our research covers hardware, software and human-centred security, as well as forensics and governance aspects.</p>
<p>Cyber Security is globally recognised as a serious concern. The UK government, in their 2010 National Security Strategy, rated cyber attacks as a Tier 1 threat. Despite a national austerity stance, the UK government is spending millions of pounds to ensure that this particular risk is mitigated. Abertay University is in a unique position to make a contribution to this endeavour due to our spread of research activity across the entire cyber security spectrum and our cross-disciplinary approach to the problem. We also have close ties with industry and law enforcement that ensure that we understand the problems being faced at the coal face. In this way we are able address the real and pertinent issues in the area, and our research can have maximum impact.</p>
<p>Our vibrant research culture encourages areas of cross-disciplinary and inter-disciplinary working, and draws from software good practice including secure software development, development of innovative forensic techniques and deployment of behavioural science in improving human resilience.  We are a member of the Cyber Nexus network (SICSA), a collaboration of Scottish universities whose goal it is to provide world-leading postgraduate education and research experiences. The SICSA programme prepares graduates for careers as researchers, academics and for a diverse range of local, national and international careers and professions outside of academia. The Cyber Nexus network fosters collaboration and development of cyber security researchers across Scottish universities and nurtures interactions between academia and the cyber security industry.</p>
                </div>",,
"Criminology",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/criminology/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Sociology’s postgraduate culture centres on students completing an MA by Research; MPhil or PhD. As an Abertay researcher, you will collaborate across disciplines with colleagues from other divisions. We have been a key partner in a number of large European grants specifically examining the interaction between technology, society and social innovation, as well as exploring social network dynamics for collective awareness.</p>
<p>Division staff have supervised a wide range of projects some of which have entailed partnership with non-academic user groups in the domains of:</p>
<p>Policy sociology – health, education, youth, environment, influencing public policy, communities and professional practice.</p>
<p>Criminal justice – influencing policing and criminal justice stakeholders.</p>
<p>Media, arts and cultural industries – centring on digital design processes, media educationalists, artists and curators.</p>
<p>Collaborations exist with criminal justice and policing researchers through the inter-university Scottish Institute for Policing Research (SIPR), the Scottish Informatics and Computer Science Alliance (SICSA), and with media educationalists through the Association for Media Education in Scotland (AMES).</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia, for example, in formulating policy.</p>
                </div>",,
"Computing",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/computing/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with <a rel=""noopener noreferrer"" href=""mailto:g.white@abertay.ac.uk"" target=""_blank"" title=""Gregor White email address"">the Dean</a> to discuss your proposal.</p>
<p>Computing research at Abertay benefits from membership of SICSA (Scottish Informatics and Computer Science Alliance), our relationships with technology companies such as Microsoft and NCR, the Police and other public bodies, and our leading research and testing facilities, including our Emergent Technology Centre. Postgraduate students at the University will have access to research and development opportunities, as well as contact with professionals working within the computing industry.</p>
<p>Postgraduate research is conducted with a focus on a variety of applications, such as security-related applications and investigations, the exploration of user experiences with technology, including immersive experiences, human computer interaction and accessibility, and usable security. Our interdisciplinary culture at Abertay also combines research in Computing with other areas, in particular through interactions with Cybersecurity, Games, Psychology and Food.</p>
<p>Abertay is the lead partner for a Cybersecurity research and development centre as part of the Tay Cities Deal, offering expertise in applied research and access to a range of public-sector support for local businesses and public bodies.</p>
                </div>",,
"Duty of Care in Sport",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/duty-of-care-in-sport/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Abertay’s Sport and Exercise Sciences Division has expertise in women’s sport equity; sedentary lifestyle risk factors; exercise and health training interventions; high-intensity exercise; elite sports performance; and healthy ageing. Much of this research focuses on work involving populations with protected characteristics (e.g. age, gender, disability) and aims to contribute to the duty of care agenda, which has growing salience as an issue in contemporary sport. This complements our work with Police Scotland, Active Schools, national governing bodies, charities and SMEs.</p>
<p>The Division has two designated human performance laboratories for physiological measurement, a strength and conditioning laboratory, and a biomechanics laboratory to support teaching and research. These facilities allow access to EMG and ECG equipment; ergometers; biofeedback systems; accelerometry; force transducers; electronic timing systems; gas and blood analysis equipment; GSR equipment and software; BioHarness Telemetry System; Vicon 3D motion analysis system; force platform; jump mats; segmental bio-impedance; body composition analysis; and linear position transducers.</p>
<p>Interdisciplinary work with other divisions enables access to more specialist biochemical and molecular physiology equipment, as well as opportunities to explore realistic human movement with our games design colleague’s.</p>
<p>Abertay researchers have established performance partnerships with the Scottish Rugby Union, Dundee United Football Club, Dundee Football Club, Fife Flyers Ice Hockey team, and this work is generating a number of new and exciting research opportunities.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
"Data Science & Informatics",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/data-science-informatics/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:G.White@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Data Science &amp; Informatics at Abertay University covers a wide range of applied and theoretical research. Our research looks at fields including Artificial Intelligence and Machine Learning, through to Data and Information Visualisation.</p>
<p>Data Science has found applications across industry sectors, with business seeking to generate value from data using artificial intelligence and machine learning. The full economic and societal benefits have yet to be reaped. These benefits are enormous, particularly when combined with other emergent technologies such as AR/VR for data driven design and production processes in key industries. Embedding AI across the UK will create thousands of high-quality jobs and drive economic growth.</p>
<p>A recent study found digital technologies including AI created a net total of 80,000 new jobs annually across a population similar to the UK. It is estimated that AI could add £232bn to the UK economy by 2030 (UK Government Industrial Strategy White Paper 2017).</p>
<p>Our application areas of Data Science are aligned with our key strengths in Games and Cyber Security. We are exploring how AI and neural networks can generate content for games, and how data analytics can improve the player experience.</p>
<p>We are also applying state of the art Machine Learning models for intrusion detection systems. Our expertise is broadening its reach into areas including health, community and social care. The majority of our research projects are rooted in client-facing, real-world problems faced by games companies, charities, innovation centres and more.</p>
<p>Our vibrant research culture encourages areas of cross- and inter-disciplinary working. An example of this is a collaboration between psychology and data science where data analytics are applied to understand how people learn through game-based learning.</p>
<p> </p>
                </div>",,
"Digital Marketing",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/digital-marketing/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The emerging phenomenon of social media influencers presents ample opportunities for research, considering that billions of consumers regularly use social media platforms. Potential topics could include determinants of social media influencer success and ways in which social media influencers affect consumer behaviour.</p>
<p>A research degree in this area will prepare you for a career as a researcher and an academic, as well as a wide range of careers outside of academia such as private consultancy.</p>
                </div>",,
"Corruption and Economic Development",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/corruption-and-economic-development/",1,"year",,"Postgraduate",,"February, October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>As a research topic, corruption and economic development could be approached from a number of different disciplinary angles including economics or business leadership.</p>
<p>Economics is perhaps the social science that requires the highest use of quantitative methods. Embarking on a research degree in economics provides you with the opportunity to acquire skills in data analysis and statistical packages that are highly transferable in the labour market. Abertay, through the Graduate School, offers specialised training that allows you to master these quantitative techniques. The vibrant research culture within our Graduate School encourages areas of cross and interdisciplinary working, allowing you to interact with researchers from other areas. Abertay is a member of the SGSSS network – a collaboration of Scottish universities whose goal is to provide world-leading postgraduate education and research.</p>
<p>A research degree at Abertay is excellent preparation for a career as a researcher, an academic, as well as a diverse range of professions outside of academia, for example, working in public policy.</p>
                </div>",,
"BA (Hons) Business Management with Analytics",,,"https://www.abertay.ac.uk/course-search/undergraduate/business-management-with-analytics/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note:</strong> All applicants must have passes in English and Maths or Lifeskill Maths - National 5 grade C or GCSE grade C/4 or equivalent.  National 5 ESOL is accepted in lieu of National 5 English. </p>

<p><u>Below are the literate subjects we accept for entry on this course</u>:</p>

<p>One of the following: <strong>Business Management; Classical Studies; Economics; English; ESOL; Geography; History; Media Studies; Modern Studies; Philosophy; Politics; Psychology; Religious, Moral and Philosophical Studies; Sociology</strong></p>

<p>If there is a subject that does not appear, please contact our Admissions Office (<a href=""mailto:admissions@abertay.ac.uk"">admissions@abertay.ac.uk</a>) who will be able to confirm whether or not it would be considered for entry.</p>

<p>Please visit our <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>
<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why Study Abertay's BA (Hons) Business Management with Analytics?</h2>
                    <h3>Overview</h3>
<p>What are the business challenges presented by shifting markets, ever-changing business models and emerging technologies? Which management skills do you need to deliver a high-level financially and sustainable organisational performance? </p>
<p>As organisations collect more ‘Big Data’, there is a critical need for employees who can analyse that data strategically in areas such as marketing intelligence, CRM, sales and financial management.  You need to have the ability to present and interpret findings clearly and effectively. We will help you to excel in a range of business settings, so you are able to influence and make informed, data-driven business decisions.  </p>
<p>Your skill and ability to clearly identify business opportunities will mesh perfectly with the ever-changing job market. Business Analytics means you can harness new, powerful tools using skills that are in great demand across the business world.</p>
<h3><span>Why study this course here</span></h3>
<ul>
<li><strong>UK University of the Year 2021</strong> - <strong>Teaching Quality</strong><strong> </strong>(The Times/ Sunday Times Good University Guide)</li>
<li><strong>UK Top 10</strong> - <strong>Student Satisfaction</strong> &amp; <strong>Teaching</strong> (Guardian Good University Guide 2021)</li>
<li><strong>UK Top 10 </strong>- <strong>Student Satisfaction </strong>(National Student Survey 2020)</li>
</ul>
<p>Gain a clear understanding of how complex organisations work by choosing this fascinating degree designed to give your career a head start. You will learn to thrive in today’s fast-paced global economy. </p>
<p>When you graduate<strong> you will be ready to improve organisational productivity, performance and profits. </strong>Whether your ambition is to start your own business or work within an organisation, your skills will be relevant all over the world.</p>
                </div>",,
"Computer Games Development and Technology",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/computer-games-development-and-technology/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p style=""margin-bottom: 15.0pt; line-height: 21.0pt;""><span style=""font-family: 'Verdana',sans-serif; color: #5d6669;"">This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with <a rel=""noopener noreferrer"" href=""mailto:G.White@abertay.ac.uk"" target=""_blank"">the Dean</a> to discuss your proposal.</span></p>
<p>Games Development and Technology research considers the development of software and hardware applications of computer games, including but not limited to: computer graphics programming, programming of AI for games, exploration of player interaction and gameplay systems, development for games platforms, and the creation of new and experimental games controllers and hardware.</p>
<p>Research in this field draws upon supervisory expertise from within the School of Design and Informatics, including academics with track record in mathematics, computer science, games programming, and games industry experience. Applications can encompass not only the games and related industries, for example through development of new tools, techniques, and approaches to game development and technology, but also other fields that can benefit from advanced interactive applications and computer graphics.</p>
<p>Abertay University is the lead partner for <a rel=""noopener noreferrer"" href=""https://www.innovationforgames.com/"" target=""_blank"" title=""InGAME"">InGAME: Innovation for Games and Media Enterprise</a>, an AHRC-funded R&amp;D centre for Dundee’s games cluster. Postgraduate students at the University will have access to research and development opportunities, as well as contact with professionals working within the games industry. Dundee is one of the UK’s oldest and most successful games hubs, and we have longstanding relationships with local, national and international game studios.</p>
<p> </p>
                </div>",,
"Computer Arts",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/computer-arts/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:G.White@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Computer Arts at Abertay covers a wide range of applied and theoretical research.</p>
<p>With the launch of our Computer Arts degree programme in 1999, Abertay helped to pioneer the development of academic study for artists engaged with new and emergent media technologies. Today, this broad field of artistic practice underpins not only research in digital creativity and audience engagement, but also creative industries such as graphic design, animation, film and television, visual effects, and computer games. At Abertay, you will be supported to conduct this research by our world-leading expertise in computer arts and computer games education, our connections with key industry partners, and our specialist computer arts studios and game development facilities.</p>
<p>Abertay University is the lead partner for InGAME: InnoVation for Games and Media Enterprise, an AHRC-funded R&amp;D centre for Dundee’s games cluster. Postgraduate students at the University will have access to research and development opportunities, as well as contact with professionals working within the games industry.</p>
<p>Our research at Abertay is inherently cross-disciplinary and inter-disciplinary, which brings benefits to arts researchers interested in utilising multiple technologies, examining audiences and users, and engaging with private, public and third sector stakeholders. We are a member of networks such as SGSAH and SICSA, which will provide you with opportunities to network with like-minded academics and research students across Scotland, and access training opportunities.</p>
<p>Undertaking a research degree in computer arts at Abertay will prepare you for a rewarding career not only in academia, but also as an independent art practitioner and as an R&amp;D and production leader in the creative industries and wider society.</p>
<p> </p>
                </div>",,
"Comparative Physiology",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/comparative-physiology/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Research and knowledge exchange within the field of mental and physical health/wellbeing is a key priority for the 21<sup>st</sup> century.  Our divisional expertise spans a number of areas central to responding to societal and medical needs.  This is carried out within a range of contexts and using a number of research methodologies.</p>
<p>Current research covers areas of:-</p>
<ol>
<li>counselling and mental health such as projects to understand and respond to the impact of long-term health conditions; the impact of developmental challenges and childhood experiences of mental health challenge; as well as the development of mental health professionals, best practice, and resilience within nursing care contexts.</li>
<li>Health-related biomolecular and genetic research:- for example, the examination of the pathophysiology of infertility; anti-microbial resistance and impact environmental contaminant exposure; and comparative physiology of metabolism. </li>
</ol>
<p>All of which are supported by expertise in research ethics and statistical modelling.</p>
                </div>",,
"Professional Masters in Games Development",,,"https://www.abertay.ac.uk/course-search/postgraduate-taught/professional-masters-in-games-development/",1,"year",,"Postgraduate",,"January,August",,,,,"17,000",,"Annual",2021,"GBP","Full Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Why Study a Professional Masters in Games Development?</h2>
                    <p><strong>The Centre for Excellence in Computer Games Education at Abertay offers this unique, world-renowned programme. It’ll give you a skillset that encompasses far more than basic technical excellence. The result offers an unparalleled opportunity for subsequent employment in leading creative and technological industries - specifically within the fields of coding, digital art, game design and audio - as demanded by the multi-billion pound games industry.</strong></p>
<p>Get set to develop core skills through applied project work, supported by experienced games industry practitioners. Enhance your skills in interdisciplinary communication and collaboration through teamwork with students and staff from other areas of games development.</p>
<p>You’ll apply developing technologies and practices, specific to your own discipline, across projects that demonstrate your work to leading industry figures. In addition, you'll be encouraged to nurture relationships with fellow developers, industry professionals and companies through your demonstrable skill in the creation of games, mentorships and published research.</p>
<p> </p>
                </div>",,
"Ethical Hacking and Cyber Security",,,"https://www.abertay.ac.uk/course-search/postgraduate-taught/ethical-hacking-and-cyber-security/",1,"year",,"Postgraduate",,"September",,,,,"17,000",,"Annual",2021,"GBP","Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Why Study Ethical Hacking and Cyber Security?</h2>
                    <p>Provisionally certified by the National Cyber Security Centre - part of GCHQ - this Masters degree develops the skills and mind set needed to tackle the growing threat of computer hackers. Computer security is a growing concern for organisations of all sizes. This Masters will put you in the ideal position to pursue a successful and often lucrative career. It’s not unusual for the salaries of graduates from this programme to start at £35,000-£40,000. The industry is currently experiencing a major skills gap and global demand for ethical hackers.  </p>
<p>We’re the only university in the UK to offer a Masters programme in ethical hacking. We want to change the way you view cyber security to adopt an offensive approach. The best way to beat a hacker is to be able to think like one!  </p>
<p>Aimed at Computing/IT graduates, our MSc Ethical Hacking and Cyber Security covers a wide range of subjects, including penetration testing, digital forensics, information security management, Malware analysis, port scanning, buffer overflows and password cracking. Our research-active teaching staff are at the forefront of new developments, allowing the programme to evolve to cover the latest techniques and guidelines.</p>
<p>There are two modes of studying this degree. Full-time, on-campus over one year or, part-time  distance learning over two years.</p>
<p>In recent years, full-time on-campus class sizes have been around 10-15 people, and they’re unlikely to go higher than 20. This allows for closer relationships with academic staff and fellow postgraduates.</p>
<p>The part-time distance option offers a virtual lab for practical work and weekly sessions to meet staff, fellow students and get help.</p>
<p>Abertay graduates have gone on to work for organisations such as:</p>
<ul>
<li>Dell Secure Works</li>
<li>Goldman-Sachs</li>
<li>NCR</li>
<li>GCHQ</li>
</ul>
<p>Others have gone on to set up their own successful information security businesses.</p>
<p>Join us and start your career in a fascinating, rewarding and hugely in-demand industry.</p>
<p> </p>
                </div>",,
"Cognitive Psychology",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/cognitive-psychology/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Abertay’s Division of Psychology has a strong and active role in delivering research degrees, including those in partnership with the NHS, local education authorities, Police Scotland, and the business and digital technology communities.</p>
<p>Abertay is a member of the Scottish Graduate School for Social Sciences, and our psychology researchers collaborate across disciplines with colleague from our other academic schools. Abertay has expertise in psychophysics and vision science; numeracy, language learning and processing; comparative and evolutionary psychology; forensic and investigative psychology; social psychology and self-other processing; laterality; cognitive neuroscience; and dance and movement perception.</p>
<p>Abertay’s psychology research environment is well resourced with nine dedicated staff, research labs and a suite of experimental cubicles. Laboratories are equipped with High-end PCs and appropriate software (E-prime, Superlab, N-Vivo, Paradigm, SPSS, Observer XT). Hardware of note includes an anechoic chamber, wall-mounted remote controlled CCTV cameras, SMI 3.0 Eye View eye-movement recorder, SMI Eye View X HED Eye-Tracker, GSR, EEG and tCDS, and the BioHarness Telemetry System. Our psychology researchers also have access to a virtual reality laboratory and other digital technologies through cross-school collaborations.</p>
<p>Our research programmes will prepare you for a career as a researcher and an academic, as well as a diverse range of professions outside of academia.</p>
                </div>",,
"Business and Management",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/business-and-management/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal<em>.</em></p>
<p>Within the broad area of management, there are multiple themes available to study an MSc by Research, MPhil or PhD.</p>
<p>Specific topics could be formed to investigate management at an organisational, regional and/or national level, as well as in certain sectors of the economy. Example projects include corporate governance and management in the pharmaceuticals industry; management of infrastructure development projects, such as housing construction; and management in the banking sector.</p>
<p>You may adopt a variety of methodological approaches, both quantitative and qualitative, as part of your research.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
